Greene County|Illinois|13434
Grundy County|Illinois|50425
Hamilton County|Illinois|8296
Hancock County|Illinois|18564
Hardin County|Illinois|4129
Henderson County|Illinois|6916
Henry County|Illinois|49635
Iroquois County|Illinois|28879
Jackson County|Illinois|59677
Jasper County|Illinois|9623
Jefferson County|Illinois|38534
Jersey County|Illinois|22571
Jo Daviess County|Illinois|22254
Johnson County|Illinois|12601
Kane County|Illinois|527306
Kankakee County|Illinois|111375
Kendall County|Illinois|121350
Knox County|Illinois|52069
Lake County|Illinois|705186
LaSalle County|Illinois|111241
Lawrence County|Illinois|16519
Lee County|Illinois|34735
Livingston County|Illinois|37903
Logan County|Illinois|29746
McDonough County|Illinois|31880
McHenry County|Illinois|307283
McLean County|Illinois|174061
Macon County|Illinois|108350
Macoupin County|Illinois|46453
Madison County|Illinois|266560
Marion County|Illinois|38571
Marshall County|Illinois|12014
Mason County|Illinois|13898
Massac County|Illinois|14905
Menard County|Illinois|12570
Mercer County|Illinois|15945
Monroe County|Illinois|33722
Montgomery County|Illinois|29359
Morgan County|Illinois|34929
Moultrie County|Illinois|14837
Ogle County|Illinois|52085
Peoria County|Illinois|187319
Perry County|Illinois|21672
Piatt County|Illinois|16431
Pike County|Illinois|16022
Pope County|Illinois|4276
Pulaski County|Illinois|5815
Putnam County|Illinois|5814
Randolph County|Illinois|32869
Richland County|Illinois|16061
Rock Island County|Illinois|146063
St. Clair County|Illinois|265729
Saline County|Illinois|24612
Sangamon County|Illinois|198997
Schuyler County|Illinois|7330
Scott County|Illinois|5204
Shelby County|Illinois|22048
Stark County|Illinois|5813
Stephenson County|Illinois|46435
Tazewell County|Illinois|135707
Union County|Illinois|17447
Vermilion County|Illinois|79728
Wabash County|Illinois|11549
Warren County|Illinois|17874
Washington County|Illinois|14337
Wayne County|Illinois|16543
White County|Illinois|14374
Whiteside County|Illinois|56876
Will County|Illinois|685419
Williamson County|Illinois|67008
Winnebago County|Illinois|288542
Woodford County|Illinois|39187
Adams County|Indiana|34791
Allen County|Indiana|365918
Bartholomew County|Indiana|80217
Benton County|Indiana|8700
Blackford County|Indiana|12401
Boone County|Indiana|61915
Brown County|Indiana|14962
Carroll County|Indiana|19923
Cass County|Indiana|38438
Clark County|Indiana|114262
Clay County|Indiana|26562
Clinton County|Indiana|32776
Crawford County|Indiana|10655
Daviess County|Indiana|32729
Dearborn County|Indiana|49506
Decatur County|Indiana|26524
DeKalb County|Indiana|42383
Delaware County|Indiana|117074
Dubois County|Indiana|42345
Elkhart County|Indiana|201971
Fayette County|Indiana|23468
Floyd County|Indiana|76179
Fountain County|Indiana|16658
Franklin County|Indiana|22934
Fulton County|Indiana|20500
Gibson County|Indiana|33759
Grant County|Indiana|68569
Greene County|Indiana|32726
Hamilton County|Indiana|302623
Hancock County|Indiana|71978
Harrison County|Indiana|39299
Hendricks County|Indiana|156056
Henry County|Indiana|48995
Howard County|Indiana|82982
Huntington County|Indiana|36706
Jackson County|Indiana|43705
Jasper County|Indiana|33475
Jay County|Indiana|21179
Jefferson County|Indiana|32494
Jennings County|Indiana|28000
Johnson County|Indiana|147538
Knox County|Indiana|37938
Kosciusko County|Indiana|78564
LaGrange County|Indiana|38436
Lake County|Indiana|490228
LaPorte County|Indiana|111444
Lawrence County|Indiana|45704
Madison County|Indiana|130069
Marion County|Indiana|934243
Marshall County|Indiana|47107
Martin County|Indiana|10203
Miami County|Indiana|35954
Monroe County|Indiana|143339
Montgomery County|Indiana|38146
Morgan County|Indiana|69693
Newton County|Indiana|14156
Noble County|Indiana|47618
Ohio County|Indiana|6035
Orange County|Indiana|19626
Owen County|Indiana|20969
Parke County|Indiana|17233
