DONOVAN,799,39270
MCCONNELL,800,39203
WALLS,801,39166
BOYLE,802,39141
MAYER,803,39111
ZUNIGA,804,39057
GILES,805,39002
PINEDA,806,38999
PACE,807,38975
HURLEY,808,38971
MAYS,809,38914
MCMILLAN,810,38896
CROSBY,811,38844
AYERS,812,38836
CASE,813,38759
BENTLEY,814,38714
SHEPARD,815,38705
EVERETT,816,38702
PUGH,817,38691
DAVID,818,38659
MCMAHON,819,38557
DUNLAP,820,38516
BENDER,821,38464
HAHN,822,38354
HARDING,823,38340
ACEVEDO,824,38232
RAYMOND,825,38158
BLACKBURN,826,38137
DUFFY,827,37962
LANDRY,828,37961
DOUGHERTY,829,37903
BAUTISTA,830,37847
SHAH,831,37833
POTTS,832,37687
ARROYO,833,37678
VALENTINE,834,37669
MEZA,835,37662
GOULD,836,37660
VAUGHAN,837,37591
FRY,838,37542
RUSH,839,37470
AVERY,840,37440
HERRING,841,37353
DODSON,842,37298
CLEMENTS,843,37237
SAMPSON,844,37234
TAPIA,845,37201
BEAN,846,37145
LYNN,847,37125
CRANE,848,37123
FARLEY,849,37116
CISNEROS,850,37050
BENTON,851,37032
ASHLEY,852,37021
MCKAY,853,36948
FINLEY,854,36874
BEST,855,36862
BLEVINS,856,36841
FRIEDMAN,857,36833
MOSES,858,36814
SOSA,859,36813
BLANCHARD,860,36764
HUBER,861,36729
FRYE,862,36716
KRUEGER,863,36694
BERNARD,864,36546
ROSARIO,865,36539
RUBIO,866,36531
MULLEN,867,36442
BENJAMIN,868,36439
HALEY,869,36433
CHUNG,870,36422
MOYER,871,36421
CHOI,872,36390
HORNE,873,36288
YU,874,36285
WOODWARD,875,36242
ALI,876,36079
NIXON,877,36037
HAYDEN,878,36024
RIVERS,879,35980
ESTES,880,35839
MCCARTY,881,35718
RICHMOND,882,35715
STUART,883,35701
MAYNARD,884,35648
BRANDT,885,35616
OCONNELL,886,35610
HANNA,887,35599
SANFORD,888,35565
SHEPPARD,889,35554
CHURCH,890,35539
BURCH,891,35521
LEVY,892,35464
RASMUSSEN,893,35453
COFFEY,894,35442
PONCE,895,35400
FAULKNER,896,35389
DONALDSON,897,35387
SCHMITT,898,35326
