"Henderson County, Illinois","6,916"
"Henry County, Illinois","49,635"
"Iroquois County, Illinois","28,879"
"Jackson County, Illinois","59,677"
"Jasper County, Illinois","9,623"
"Jefferson County, Illinois","38,534"
"Jersey County, Illinois","22,571"
"Jo Daviess County, Illinois","22,254"
"Johnson County, Illinois","12,601"
"Kane County, Illinois","527,306"
"Kankakee County, Illinois","111,375"
"Kendall County, Illinois","121,350"
"Knox County, Illinois","52,069"
"Lake County, Illinois","705,186"
"LaSalle County, Illinois","111,241"
"Lawrence County, Illinois","16,519"
"Lee County, Illinois","34,735"
"Livingston County, Illinois","37,903"
"Logan County, Illinois","29,746"
"McDonough County, Illinois","31,880"
"McHenry County, Illinois","307,283"
"McLean County, Illinois","174,061"
"Macon County, Illinois","108,350"
"Macoupin County, Illinois","46,453"
"Madison County, Illinois","266,560"
"Marion County, Illinois","38,571"
"Marshall County, Illinois","12,014"
"Mason County, Illinois","13,898"
"Massac County, Illinois","14,905"
"Menard County, Illinois","12,570"
"Mercer County, Illinois","15,945"
"Monroe County, Illinois","33,722"
"Montgomery County, Illinois","29,359"
"Morgan County, Illinois","34,929"
"Moultrie County, Illinois","14,837"
"Ogle County, Illinois","52,085"
"Peoria County, Illinois","187,319"
"Perry County, Illinois","21,672"
"Piatt County, Illinois","16,431"
"Pike County, Illinois","16,022"
"Pope County, Illinois","4,276"
"Pulaski County, Illinois","5,815"
"Putnam County, Illinois","5,814"
"Randolph County, Illinois","32,869"
"Richland County, Illinois","16,061"
"Rock Island County, Illinois","146,063"
"St. Clair County, Illinois","265,729"
"Saline County, Illinois","24,612"
"Sangamon County, Illinois","198,997"
"Schuyler County, Illinois","7,330"
"Scott County, Illinois","5,204"
"Shelby County, Illinois","22,048"
"Stark County, Illinois","5,813"
"Stephenson County, Illinois","46,435"
"Tazewell County, Illinois","135,707"
"Union County, Illinois","17,447"
"Vermilion County, Illinois","79,728"
"Wabash County, Illinois","11,549"
"Warren County, Illinois","17,874"
"Washington County, Illinois","14,337"
"Wayne County, Illinois","16,543"
"White County, Illinois","14,374"
"Whiteside County, Illinois","56,876"
"Will County, Illinois","685,419"
"Williamson County, Illinois","67,008"
"Winnebago County, Illinois","288,542"
"Woodford County, Illinois","39,187"
"Adams County, Indiana","34,791"
"Allen County, Indiana","365,918"
"Bartholomew County, Indiana","80,217"
"Benton County, Indiana","8,700"
"Blackford County, Indiana","12,401"
"Boone County, Indiana","61,915"
"Brown County, Indiana","14,962"
"Carroll County, Indiana","19,923"
"Cass County, Indiana","38,438"
"Clark County, Indiana","114,262"
"Clay County, Indiana","26,562"
"Clinton County, Indiana","32,776"
"Crawford County, Indiana","10,655"
"Daviess County, Indiana","32,729"
"Dearborn County, Indiana","49,506"
"Decatur County, Indiana","26,524"
"DeKalb County, Indiana","42,383"
"Delaware County, Indiana","117,074"
"Dubois County, Indiana","42,345"
"Elkhart County, Indiana","201,971"
"Fayette County, Indiana","23,468"
"Floyd County, Indiana","76,179"
"Fountain County, Indiana","16,658"
"Franklin County, Indiana","22,934"
"Fulton County, Indiana","20,500"
"Gibson County, Indiana","33,759"
"Grant County, Indiana","68,569"
"Greene County, Indiana","32,726"
"Hamilton County, Indiana","302,623"
"Hancock County, Indiana","71,978"
"Harrison County, Indiana","39,299"
"Hendricks County, Indiana","156,056"
"Henry County, Indiana","48,995"
"Howard County, Indiana","82,982"
"Huntington County, Indiana","36,706"
"Jackson County, Indiana","43,705"
"Jasper County, Indiana","33,475"
